Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
09:40:00:845,10.291,0.010,-0.027,0.014,1.277,111.683,-23.120
09:40:01:032,10.478,0.003,0.010,-0.010,1.382,111.512,-22.901
09:40:01:032,10.478,0.009,0.004,0.023,1.312,111.358,-23.052
09:40:01:268,10.713,0.006,0.007,0.012,1.105,111.308,-24.219
09:40:01:268,10.713,0.005,-0.001,0.013,1.103,111.331,-24.247
09:40:01:269,10.714,0.001,-0.022,0.008,1.125,111.365,-24.253
09:40:01:397,10.842,0.016,0.026,-0.004,1.570,111.427,-23.709
09:40:01:42,10.866,0.007,0.011,0.003,1.628,111.397,-23.668
09:40:01:475,10.921,0.018,0.006,0.019,1.649,111.307,-23.641
09:40:01:475,10.921,0.008,0.026,0.013,1.643,111.240,-23.756
09:40:01:498,10.943,0.006,0.041,-0.001,1.643,111.232,-23.869
09:40:01:556,11.001,0.015,0.016,0.007,1.648,111.244,-23.831
09:40:01:631,11.077,0.005,0.022,0.009,1.605,111.249,-23.865
09:40:01:661,11.106,0.003,-0.004,-0.003,1.530,111.241,-23.920
09:40:01:662,11.107,0.016,0.012,0.003,1.477,111.251,-23.941
09:40:01:662,11.107,-0.007,0.028,0.004,1.410,111.264,-23.926
09:40:01:682,11.127,0.009,-0.009,0.013,1.371,111.282,-23.842
09:40:01:737,11.182,0.014,-0.023,0.001,1.274,111.320,-23.810
09:40:01:738,11.183,0.001,-0.013,-0.006,1.194,111.331,-23.931
09:40:01:762,11.207,-0.006,-0.039,-0.017,1.094,111.314,-24.125
09:40:01:817,11.262,0.006,-0.064,0.008,1.037,111.273,-24.231
09:40:01:817,11.262,-0.001,-0.068,0.010,1.034,111.257,-24.375
09:40:01:84,11.285,-0.015,-0.039,0.013,1.130,111.258,-24.753
09:40:01:894,11.340,0.008,-0.049,0.016,1.270,111.318,-24.946
09:40:01:895,11.341,0.009,0.022,0.007,1.547,111.453,-25.165
09:40:01:918,11.364,0.008,0.032,0.009,1.851,111.614,-25.267
09:40:01:973,11.418,0.007,0.027,0.016,2.042,111.710,-25.268
09:40:01:974,11.419,-0.005,0.053,-0.016,2.252,111.842,-25.400
09:40:01:997,11.442,-0.002,0.071,-0.026,2.319,111.939,-25.521
09:40:02:13,11.575,-0.005,0.025,-0.019,2.037,111.822,-25.664
09:40:02:158,11.603,-0.002,0.002,0.002,1.913,111.755,-25.649
09:40:02:158,11.603,0.012,-0.017,0.015,1.759,111.634,-25.532
09:40:02:318,11.763,0.004,-0.006,0.000,1.175,111.320,-25.500
09:40:02:319,11.764,0.000,0.019,-0.017,1.094,111.279,-25.516
09:40:02:319,11.764,0.010,0.018,-0.020,0.931,111.142,-25.459
09:40:02:367,11.812,0.008,-0.005,0.010,0.738,110.968,-25.232
09:40:02:368,11.813,0.011,-0.004,0.025,0.599,110.837,-25.153
09:40:02:392,11.837,0.023,0.011,-0.002,0.370,110.645,-25.286
09:40:02:444,11.889,0.006,0.012,0.018,0.243,110.559,-25.286
09:40:02:525,11.971,0.000,-0.002,0.020,-0.077,110.560,-24.922
09:40:02:634,12.079,-0.012,-0.006,-0.012,-0.352,110.686,-25.151
09:40:02:634,12.079,0.003,-0.005,-0.004,-0.391,110.703,-25.197
09:40:02:713,12.158,0.009,-0.011,-0.002,-0.414,110.765,-25.122
09:40:02:714,12.159,-0.004,0.022,0.001,-0.420,110.770,-25.182
09:40:02:812,12.258,0.005,0.008,-0.006,-0.424,110.768,-25.190
09:40:02:873,12.318,0.001,0.032,-0.004,-0.484,110.757,-25.259
09:40:02:874,12.319,0.005,0.001,0.003,-0.548,110.674,-25.320
09:40:02:98,12.425,0.002,0.036,0.001,-0.766,110.517,-25.414
09:40:02:98,12.425,-0.001,0.000,0.006,-0.805,110.490,-25.424
09:40:02:98,12.425,0.015,-0.025,0.016,-0.873,110.461,-25.283
09:40:03:026,12.472,0.007,-0.008,-0.008,-0.980,110.422,-25.342
09:40:03:027,12.473,-0.008,-0.007,-0.001,-1.039,110.380,-25.442
09:40:03:027,12.473,-0.004,-0.067,0.012,-1.092,110.343,-25.503
09:40:03:1,12.546,-0.001,-0.013,-0.008,-1.007,110.391,-25.795
09:40:03:128,12.573,0.000,-0.028,0.002,-0.856,110.357,-25.828
09:40:03:129,12.574,0.008,-0.019,0.019,-0.772,110.320,-25.805
09:40:03:29,12.735,0.017,0.038,0.018,-0.425,110.194,-26.190
09:40:03:29,12.735,0.020,0.021,0.020,-0.376,110.229,-26.103
09:40:03:342,12.787,0.013,0.001,-0.003,-0.358,110.296,-26.055
09:40:03:362,12.807,0.001,0.011,-0.010,-0.388,110.309,-26.129
09:40:03:416,12.862,0.000,0.016,-0.013,-0.437,110.300,-26.163
09:40:03:443,12.889,0.003,-0.017,0.005,-0.492,110.292,-26.100
09:40:03:444,12.890,0.013,-0.002,-0.002,-0.499,110.290,-26.064
09:40:03:497,12.942,-0.002,0.009,-0.016,-0.490,110.295,-26.068
09:40:03:497,12.942,0.014,-0.006,0.008,-0.486,110.294,-25.997
09:40:03:519,12.964,0.004,-0.020,0.010,-0.485,110.264,-25.904
09:40:03:575,13.020,0.004,0.007,-0.013,-0.489,110.227,-25.971
09:40:03:576,13.021,-0.001,0.004,-0.007,-0.500,110.210,-25.984
09:40:03:687,13.132,0.009,0.008,-0.006,-0.513,110.097,-25.862
09:40:03:687,13.132,0.002,0.007,-0.008,-0.522,110.012,-25.778
09:40:03:688,13.133,0.019,-0.008,0.034,-0.518,109.934,-25.626
09:40:03:732,13.178,0.014,0.016,0.009,-0.535,109.716,-25.513
09:40:03:844,13.289,0.016,0.009,0.024,-0.550,109.678,-25.293
09:40:03:845,13.290,0.013,0.005,0.001,-0.553,109.681,-25.282
09:40:03:845,13.290,0.001,0.007,0.006,-0.610,109.709,-25.269
09:40:03:861,13.306,0.000,0.007,-0.011,-0.648,109.723,-25.217
09:40:03:946,13.391,-0.003,0.006,-0.010,-0.611,109.776,-25.115
09:40:03:947,13.392,-0.001,0.008,-0.002,-0.622,109.756,-25.081
09:40:03:994,13.439,0.006,0.006,-0.010,-0.676,109.709,-25.092
09:40:04:106,13.551,-0.005,-0.011,0.011,-0.846,109.580,-25.100
09:40:04:106,13.551,0.002,-0.021,0.017,-0.931,109.536,-25.088
09:40:04:107,13.552,0.010,-0.031,-0.009,-0.993,109.523,-25.143
09:40:04:107,13.552,0.000,0.027,0.005,-1.061,109.489,-25.154
09:40:04:15,13.595,0.021,-0.009,0.012,-1.082,109.464,-25.027
09:40:04:179,13.624,0.023,-0.034,0.012,-1.180,109.451,-24.884
09:40:04:179,13.624,-0.004,-0.015,-0.004,-1.328,109.418,-25.093
09:40:04:261,13.706,-0.003,0.013,0.000,-1.396,109.368,-25.171
09:40:04:261,13.706,0.010,-0.004,0.004,-1.428,109.335,-25.013
09:40:04:261,13.706,0.011,-0.021,0.022,-1.446,109.350,-24.824
09:40:04:311,13.756,0.004,-0.017,0.014,-1.430,109.363,-24.757
09:40:04:311,13.756,0.004,0.019,-0.010,-1.420,109.358,-24.860
09:40:04:333,13.778,0.003,0.002,-0.007,-1.430,109.344,-24.841
09:40:04:389,13.834,0.003,0.011,0.020,-1.425,109.291,-24.719
09:40:04:389,13.834,0.019,0.006,0.015,-1.430,109.263,-24.671
09:40:04:412,13.857,0.008,-0.002,0.022,-1.431,109.237,-24.632
09:40:04:471,13.917,0.006,0.008,0.018,-1.429,109.230,-24.610
09:40:04:472,13.918,0.019,0.007,0.004,-1.433,109.250,-24.581
09:40:04:472,13.918,0.006,0.000,0.020,-1.441,109.273,-24.437
09:40:04:547,13.992,0.013,-0.018,0.033,-1.437,109.272,-24.308
09:40:04:547,13.992,0.008,-0.015,0.009,-1.454,109.305,-24.411
09:40:04:572,14.017,-0.008,0.014,-0.014,-1.466,109.359,-24.545
09:40:04:573,14.018,0.002,0.008,-0.002,-1.428,109.399,-24.528
09:40:04:625,14.070,0.013,-0.033,0.000,-1.385,109.455,-24.492
09:40:04:626,14.071,-0.002,0.009,-0.019,-1.374,109.488,-24.608
09:40:04:649,14.094,-0.020,-0.030,-0.025,-1.354,109.482,-24.708
09:40:04:733,14.178,-0.022,-0.037,-0.027,-1.305,109.459,-24.676
09:40:04:734,14.179,-0.004,-0.016,-0.030,-1.203,109.410,-24.633
